Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
INFINIX,Note 30 pro,OLED,MarcoCell,400,660
INFINIX,Zero 30,OLED,MarcoCell,750,1050
INFINIX,Infinix hot 60 pro plus,OLED,MarcoCell,650,880
IPHONE,11 black,LCD,boe,245,450
IPHONE,11,LCD,boe,250,460
IPHONE,X,LCD,boe,245,450
IPHONE,11 Pro Max,LCD,boe,310,530
IPHONE,12 Pro Max,LCD,boe,370,600
IPHONE,12 black,OLED,boe,650,1000
IPHONE,13 Pro Max,OLED,boe,1240,1600
MOTOROLA,mOTOROLA G24 POWER,INCELL,MarcoCell,150,320
MOTOROLA,NEO 40 EDGE,OLED,LPZ,640,980
REALME,C11,LCD,boe,90,230
REALME,12 pro Plus,OLED,MarcoCell,650,900
REALME,12 pro Plus,OLED,MarcoCell,650,890
REALME,XT,OLED,LPZ,400,720
SAMSUNG,A22 5G,LCD,boe,110,270
SAMSUNG,A32,LCD,boe,125,270
SAMSUNG,A13,LCD,boe,105,250
SAMSUNG,S25 ULTRA,OLED,LPZ,3200,3700
TECNO,Camon 20 normal,OLED,MarcoCell,400,660
TECNO,Camon 20 primer 5g,OLED,LPZ,460,600
XIAOMI,REDMI 9,LCD,boe,95,230
XIAOMI,Poco F5 pro,OLED,MarcoCell,550,920
XIAOMI,Poco x6 pro,OLED,MarcoCell,550,920
XIAOMI,Poco x5 pro,INCELL,MarcoCell,150,320
XIAOMI,Poco x4 GT,OLED,MarcoCell,150,320
XIAOMI,Mi 12t pro,INCELL,MarcoCell,180,320
XIAOMI,Note 13 4g,OLED,MarcoCell,350,550
XIAOMI,NOTE 12 PRO PLUS,OLED,MarcoCell,650,850
XIAOMI,K40 Gaming,OLED,LPZ,600,880
XIAOMI,POCO X7 PRO,OLED,LPZ,800,1160
XIAOMI,Mi 11 ultra,OLED,LPZ,1100,1580
XIAOMI,MI 12 PRO,OLED,LPZ,1700,2100
XIAOMI,MI 12 PRO,OLED,LPZ,1100,1500
XIAOMI,MI 12T PRO,OLED,LPZ,700,990
XIAOMI,MI 12 LITE,OLED,LPZ,480,780
XIAOMI,MI 13 PRO,OLED,LPZ,1500,1990
XIAOMI,MI 13 LITE,OLED,LPZ,700,980
XIAOMI,MI 15T PRO,OLED,LPZ,1200,1620
XIAOMI,MI 13 ULTRA,OLED,LPZ,1800,2300
XIAOMI,MI 12S ULTRA,OLED,LPZ,2000,2550
XIAOMI,MI 12 PRO,OLED,LPZ,1300,1800
XIAOMI,MI 9,OLED,BITE,250,430
XIAOMI,MI 9,INCELL,BITE,150,330
XIAOMI,REDMI 15C,LCD,BITE,100,270
