marca,modelo,tipo,proveedor,precio_compra,precio_venta,notas
Honor,50 Lite,LCD,J&A,215,380,
Honor,90 Lite,LCD,J&A,135,280,
Honor,Magic 5 Lite,INCELL,J&A,230,390,
Honor,Magic 6 Lite,OLED,J&A,485,680,
Honor,X5,LCD,J&A,125,330,
Honor,X5 Plus,LCD,J&A,125,330,
Honor,X6s,LCD,J&A,110,250,
Honor,X7,LCD,J&A,110,250,
Honor,X7B,LCD,J&A,110,250,
Honor,X8,LCD,J&A,125,280,
Honor,X8B,OLED,J&A,395,580,

Huawei,Nova 4,LCD,J&A,190,350,
Huawei,Nova 5T,LCD,J&A,155,310,
Huawei,P20 Lite,LCD,J&A,105,290,
Huawei,P30,OLED,J&A,200,350,
Huawei,P30 Lite,LCD,J&A,155,330,
Huawei,P40 Lite,LCD,J&A,135,310,
Huawei,Y5 2019,LCD,J&A,100,230,
Huawei,Y7 2019,LCD,J&A,125,270,
Huawei,Y8s,LCD,J&A,160,320,
Huawei,Y9 Primer,LCD,J&A,160,230,
Huawei,Y9s,LCD,J&A,175,300,

Infinix,Hot 10 Lite,LCD,J&A,115,270,
Infinix,Hot 11 Play,LCD,J&A,130,290,
Infinix,Hot 20s,LCD,J&A,135,300,
Infinix,Hot 30i,LCD,J&A,115,260,
Infinix,Hot 40i,LCD,J&A,125,260,
Infinix,Hot 50i,LCD,J&A,115,260,
Infinix,Note 12,LCD,J&A,130,290,
Infinix,Note 30 Pro,LCD,J&A,180,350,
Infinix,Note 40 Pro,LCD,J&A,210,400,
Infinix,Note 40 Pro,OLED,J&A,800,1050,
Infinix,Smart 8,LCD,J&A,115,250,
Infinix,Zero 30,LCD,J&A,230,390,

LG,K50,LCD,J&A,100,230,

Realme,6 Pro,LCD,J&A,140,290,
Realme,8,LCD,J&A,120,270,
Realme,a1,LCD,J&A,95,220,
Realme,C11 2020,LCD,J&A,110,260,
Realme,C11 2021,LCD,J&A,100,240,
Realme,C35,LCD,J&A,115,270,
Realme,C53,LCD,J&A,110,260,
Realme,C55,LCD,J&A,130,290,
Realme,GT Master,LCD,J&A,190,350,
Realme,GT Master,OLED,J&A,450,650,

Samsung,A01,LCD,J&A,100,240,
Samsung,A10,LCD,J&A,110,240,
Samsung,A13,LCD,J&A,120,270,
Samsung,A23,LCD,J&A,100,240,
