Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
FREEYOND,F9s,LCD,MR PANTALLA,140,290
FREEYOND,M5A,LCD,MR PANTALLA,140,290
HUAWEI,Mate 10 Lite,LCD,MR PANTALLA,95,220
HUAWEI,Mate 20 Lite,LCD,MR PANTALLA,100,220
HUAWEI,Mate 20,OLED,MR PANTALLA,220,380
HUAWEI,P20 Lite,LCD,MR PANTALLA,95,220
HUAWEI,P30 Lite,LCD,MR PANTALLA,95,250
HUAWEI,P40 Lite,LCD,MR PANTALLA,95,250
HUAWEI,Y6P,LCD,MR PANTALLA,90,240
HUAWEI,Y6 2019,LCD,MR PANTALLA,90,240
HUAWEI,Y7P,LCD,MR PANTALLA,100,250
HUAWEI,Y7 2019,LCD,MR PANTALLA,100,250
HUAWEI,Y9 2019,LCD,MR PANTALLA,100,250
HUAWEI,Y9 Prime,LCD,MR PANTALLA,100,250
HUAWEI,Y9 S,LCD,MR PANTALLA,100,250
HUAWEI,Y9 Prime,OLED,MR PANTALLA,125,280
HUAWEI,Nova Y60,LCD,MR PANTALLA,100,250
HONOR,X5,LCD,MR PANTALLA,95,240
HONOR,X5B,LCD,MR PANTALLA,100,250
HONOR,X5B Plus,LCD,MR PANTALLA,100,250
HONOR,X5C,LCD,MR PANTALLA,110,260
HONOR,X6,LCD,MR PANTALLA,95,250
HONOR,X6s,LCD,MR PANTALLA,95,250
HONOR,X6A,LCD,MR PANTALLA,100,250
HONOR,X6A Plus,LCD,MR PANTALLA,100,250
HONOR,X6B,LCD,MR PANTALLA,100,250
HONOR,X6B Plus,LCD,MR PANTALLA,100,250
HONOR,X6C,LCD,MR PANTALLA,110,260
HONOR,X7,LCD,MR PANTALLA,100,250
HONOR,X7A,LCD,MR PANTALLA,100,250
HONOR,X7B,OLED,MR PANTALLA,110,320
HONOR,X7C,LCD,MR PANTALLA,110,260
HONOR,X7D,LCD,MR PANTALLA,110,260
HONOR,X8 4G,LCD,MR PANTALLA,105,260
HONOR,X8A 4G,LCD,MR PANTALLA,105,260
HONOR,10 Play,LCD,MR PANTALLA,120,270
HONOR,50 Lite,LCD,MR PANTALLA,100,250
HONOR,90 Lite,LCD,MR PANTALLA,105,255
HONOR,X9,OLED,MR PANTALLA,110,320
HONOR,Magic 5 Lite,OLED,MR PANTALLA,300,510
HONOR,X9A,OLED,MR PANTALLA,300,510
HONOR,Magic 6 Lite,OLED,MR PANTALLA,360,570
HONOR,X9B,OLED,MR PANTALLA,360,570
HONOR,Magic 7 Lite,OLED,MR PANTALLA,350,560
HONOR,X9X,OLED,MR PANTALLA,350,560
HONOR,X8B,OLED,MR PANTALLA,230,440
HONOR,X8C,OLED,MR PANTALLA,230,440
HONOR,200 Lite,OLED,MR PANTALLA,230,440
HONOR,400 Lite,OLED,MR PANTALLA,300,510
IPHONE,X,INCELL,MR PANTALLA,140,320
IPHONE,X,OLED,MR PANTALLA,250,460
IPHONE,Xs,INCELL,MR PANTALLA,140,300
