Marca,Modelo,Tipo,Proveedor,Precio Compra,Precio Venta
HONOR,200,OLED,OSMobil,800,1050
HONOR,Magic 5 Lite,OLED,OSMobil,550,750
HONOR,Pad X9 Pad SE,OLED,OSMobil,780,980
HONOR,X6 B,LCD,OSMobil,140,290
INFINIX,50i,LCD,OSMobil,150,300
INFINIX,Hot 20S,LCD,OSMobil,160,320
INFINIX,Hot 60 Pro Plus,OLED,OSMobil,800,1050
INFINIX,Note 12,OLED,OSMobil,450,650
INFINIX,Note 30 Normal,LCD,OSMobil,170,330
INFINIX,Note 30 Normal,OLED,OSMobil,400,630
INFINIX,Note 30 Pro,INCELL,OSMobil,140,290
INFINIX,Smart 7,LCD,OSMobil,130,280
INFINIX,Zero 30,LCD,OSMobil,600,850
REALME,12 5G,OLED,OSMobil,500,700
REALME,GT 2 Pro,LCD,OSMobil,600,830
REALME,XT,LCD,OSMobil,650,900
SAMSUNG,Galaxy A14,INCELL,OSMobil,115,250
SAMSUNG,Galaxy A22,INCELL,OSMobil,140,280
SAMSUNG,Galaxy A23,LCD,OSMobil,135,270
SAMSUNG,Galaxy A30,INCELL,OSMobil,140,280
SAMSUNG,Galaxy A30,OLED,OSMobil,500,690
TECNO,Camon 30S,OLED,OSMobil,650,880
TECNO,Pova 5,LCD,OSMobil,150,300
TECNO,Pova 7,LCD,OSMobil,140,290
TECNO,Spark 10C,LCD,OSMobil,130,280
TECNO,Spark 20 Pro Plus,OLED,OSMobil,650,890
TECNO,Spark 40 Pro Plus,OLED,OSMobil,630,890
TECNO,Spark 6,LCD,OSMobil,140,290
XIAOMI,Mi 9T Pro,LCD,OSMobil,140,300
XIAOMI,Mi 10T Pro,LCD,OSMobil,180,350
XIAOMI,Mi 11T,OLED,OSMobil,380,630
XIAOMI,Mi 11T Pro,OLED,OSMobil,380,630
XIAOMI,Mi 12 Lite,OLED,OSMobil,550,850
XIAOMI,Mi 12T Pro,INCELL,OSMobil,170,350
XIAOMI,Mi 12T Pro,OLED,OSMobil,600,850
XIAOMI,Mi 13T Pro,OLED,OSMobil,850,1150
XIAOMI,Mi 14T Pro,OLED,OSMobil,850,1150
XIAOMI,Mi A3,OLED,OSMobil,280,430
XIAOMI,Mi Pad 6,OLED,OSMobil,750,1050
XIAOMI,Redmi 9,LCD,OSMobil,140,290
XIAOMI,Redmi 9,OLED,OSMobil,290,380
XIAOMI,Redmi 9T,LCD,OSMobil,150,310
XIAOMI,Redmi Note 8,LCD,OSMobil,140,290
XIAOMI,Redmi Note 8 Pro,LCD,OSMobil,150,310
XIAOMI,Redmi Note 9,LCD,OSMobil,140,290
XIAOMI,Redmi Note 9 Pro,LCD,OSMobil,150,310
XIAOMI,Redmi Note 10 Pro,OLED,OSMobil,280,480
XIAOMI,Redmi Note 11 Pro,LCD,OSMobil,180,330
XIAOMI,Redmi Note 11 Pro,OLED,OSMobil,470,670
XIAOMI,Redmi Note 11 Pro Plus 5G,OLED,OSMobil,450,650
XIAOMI,Redmi Note 12 4G,OLED,OSMobil,380,580
XIAOMI,Redmi Note 12 Pro,OLED,OSMobil,450,620
XIAOMI,Redmi Note 12S,OLED,OSMobil,260,490
XIAOMI,Redmi Note 12S,LCD,OSMobil,165,270
XIAOMI,Redmi Note 13,OLED,OSMobil,460,650
XIAOMI,Redmi Note 13 4G,OLED,OSMobil,450,650
XIAOMI,Redmi Note 13 Pro,OLED,OSMobil,500,700
XIAOMI,Redmi Note 14 5G,LCD,OSMobil,200,400
XIAOMI,Redmi Note 14 4G,LCD,OSMobil,120,350
XIAOMI,Redmi Note 14 Pro,OLED,OSMobil,550,890
XIAOMI,Redmi Pad SE,OLED,OSMobil,700,880
XIAOMI,Poco F5 Pro,INCELL,OSMobil,150,320
XIAOMI,Poco F5 Pro,OLED,OSMobil,900,1300
XIAOMI,Poco M4 Pro,INCELL,OSMobil,130,330
XIAOMI,Poco M4 Pro,OLED,OSMobil,260,480
XIAOMI,Poco X5 Pro,OLED,OSMobil,600,820
XIAOMI,Poco X6 Pro,OLED,OSMobil,800,1100
XIAOMI,Poco X7 Pro,OLED,OSMobil,800,1150
